Date,AAPL,AMZN,FB,GOOG,MSFT
2016/4/14,108.900322,620.75,110.839996,753.200012,53.349663
2016/4/13,108.842041,614.820007,110.510002,751.719971,53.340027
2016/4/12,107.287712,603.169983,110.610001,743.090027,52.665443
2016/4/11,105.908234,595.929993,108.989998,736.099976,52.337795
2016/4/8,105.558517,594.599976,110.629997,739.150024,52.443787
2016/4/7,105.441956,591.429993,113.639999,740.280029,52.482342
2016/4/6,107.79287,602.080017,113.709999,745.690002,53.11837
2016/4/5,106.675682,586.140015,112.220001,737.799988,52.578712
2016/4/4,107.948303,593.190002,112.550003,745.289978,53.417118
2016/4/1,106.850548,598.5,116.059998,749.909973,53.552036
2016/3/31,105.879097,593.640015,114.099998,744.950012,53.224377
2016/3/30,106.432831,598.690002,114.699997,750.530029,53.050919
2016/3/29,104.606491,593.859985,116.139999,744.77002,52.723263
2016/3/28,102.187561,579.869995,113.690002,733.530029,51.595753
2016/3/24,102.653854,582.950012,113.050003,735.299988,52.241425
2016/3/23,103.100731,569.630005,112.540001,738.059998,52.010139
2016/3/22,103.673882,560.47998,112.25,740.75,52.106506
2016/3/21,102.887009,553.97998,111.849998,742.090027,51.904137
2016/3/18,102.896729,552.080017,111.449997,737.599976,51.547573
2016/3/17,102.780144,559.440002,111.019997,737.780029,52.675079
2016/3/16,102.945305,574.27002,112.18,736.090027,52.376339
2016/3/15,101.594978,577.02002,110.669998,728.330017,51.643936
2016/3/14,99.593773,573.369995,109.889999,730.48999,51.239185
2016/3/11,99.341187,569.609985,109.410004,726.820007,51.142818
2016/3/10,98.282295,558.929993,107.32,712.820007,50.159859
2016/3/9,98.233734,559.469971,107.510002,705.23999,50.921169
2016/3/8,98.146294,560.26001,105.93,693.969971,49.774391
2016/3/7,98.962318,562.799988,105.730003,695.159973,49.176895
2016/3/4,100.069786,575.140015,108.389999,710.890015,50.140583
2016/3/3,98.602882,577.48999,109.580002,712.419983,50.448967
2016/3/2,97.874298,580.210022,109.949997,718.849976,51.027176
2016/3/1,97.660561,579.039978,109.82,718.809998,50.670616
2016/2/29,93.930183,552.52002,106.919998,697.77002,49.032349
2016/2/26,94.143906,555.22998,107.919998,705.070007,49.437096
2016/2/25,93.998184,555.150024,108.07,705.75,50.208042
2016/2/24,93.357018,554.039978,106.879997,699.559998,49.494919
2016/2/23,91.987267,552.940002,105.459999,695.849976,49.321453
2016/2/22,94.114754,559.5,107.160004,706.460022,50.738071
2016/2/19,93.298737,534.900024,104.57,700.909973,49.938213
2016/2/18,93.512459,525,103.470001,697.349976,50.294781
2016/2/17,95.319359,534.099976,105.199997,708.400024,50.516418
2016/2/16,93.881607,521.099976,101.610001,691,49.234718
2016/2/12,91.307251,507.079987,102.010002,682.400024,48.319218
2016/2/11,91.025528,503.820007,101.910004,683.109985,47.544201
